Day_of_Week,Light_Conditions,Sex_Of_Driver,Vehicle_Type,Speed_limit,Pedestrian_Crossing,Road_Type,Special_Conditions_at_Site,Number_of_Pasengers,Weather,Road_Surface,Driver_Age_Group,Vehicle_Age,Traffic_Density,Risk_Score,Is_Weekend,Night_Drive,Accident_Severity,Driver_Age,Driver_Experience,Seat_Belt,Alcohol_Level,Tyre_Condition,Braking_Distance,Vehicle_Load,Visibility,Time_Of_Day,Weather_Risk,Surface_Risk,Driver_Risk,Traffic_Risk,Total_Risk_Score,Speed_to_Risk,Visibility_to_Speed,Driver_Age_to_Exp,Final_Output
6,1,0,0,30,0,1,0,6,foggy,dry,0,1,5,15,0,0,0,28,7,1,0,1,25.85387366,1.346098375,100,afternoon,4,1,0,2.5,7.5,3.53,3.23,0.24,Major
1,0,0,1,40,1,5,0,1,clear,dry,1,1,7,40,0,0,1,40,17,1,0,1,50.398814,1.436263436,75.68712491,evening,1,1,0,3.5,5.5,6.15,1.85,0.41,Minor
2,0,1,0,20,1,4,0,4,clear,dry,0,3,1,7.6923075,0,0,0,27,9,1,0,1,74.86012034,0.574215202,41.61944126,morning,1,1,0,0.5,2.5,5.71,1.98,0.32,Minor
4,1,0,1,20,1,5,1,4,clear,dry,0,13,7,8.333333,0,0,0,18,0,1,0,1,44.67080382,0.708350668,71.5612389,evening,1,1,0,3.5,5.5,3.08,3.41,0,Minor
1,1,1,0,20,0,5,1,2,clear,wet,0,3,2,8.571428,0,0,0,18,0,1,0,1,64.69315941,1.21555292,88.99221852,afternoon,1,2,0,1,4,4,4.24,0,Minor
0,1,1,1,40,0,1,0,3,clear,icy,0,10,9,14.545455,0,0,1,35,13,0,0,1,29.1456725,1.497175543,78.36296919,afternoon,1,5,3,4.5,13.5,2.76,1.91,0.36,Major
0,1,0,0,40,0,4,1,1,clear,dry,1,1,5,7.2727275,0,0,1,37,18,1,0,1,35.28541802,1.376303724,77.41914641,night,1,1,0,2.5,4.5,7.27,1.89,0.47,Minor
4,0,0,0,30,1,2,0,5,rainy,dry,1,8,2,12,1,0,1,25,4,1,0,0,10,0.598947861,72.96222388,evening,3,1,2,1,7,3.75,2.35,0.15,Major
3,1,0,0,20,0,6,0,2.9832308,clear,dry,0,4,2,7.242238,0,0,1,41,18,0,1,0,50.54471154,1.107237094,71.58011988,evening,1,1,9,1,12,1.54,3.41,0.43,Major
4,1,1,0,40,0,3,1,1,clear,muddy,1,12,5,10,0,0,1,18,0,1,0,1,31.59562921,1.165203702,54.44131152,evening,1,3,0,2.5,6.5,5.33,1.33,0,Minor
6,1,1,1,40,0,3,1,4,foggy,dry,0,4,3,40,0,0,1,34,10,1,0,1,53.9865152,1.130832088,54.04754828,morning,4,1,0,1.5,6.5,5.33,1.32,0.29,Minor
1,0,0,1,20,0,6,1,2,clear,wet,1,14,5,15,0,0,1,22,0,0,0,1,37.46525848,1.068060265,87.27963397,morning,1,2,3,2.5,8.5,2.11,4.16,0,Major
6,0,1,1,40,1,1,1,6,clear,dry,2,6,3,25.454546,0,0,0,28,5,1,0,1,75.32719508,0.792203899,100,morning,1,1,0,1.5,3.5,8.89,2.44,0.17,Minor
0,0,1,1,20,0,4,1,6,clear,dry,2,9,3,10.769231,1,0,1,35,11,1,0,1,71.8980247,1.168506167,74.48262723,afternoon,1,1,0,1.5,3.5,4.44,3.55,0.31,Minor
0,1,0,0,40,1,6,1,1,rainy,dry,1,9,3,20,0,0,0,26,6,0,0,1,10.44943901,1.228451266,100,afternoon,3,1,3,1.5,8.5,4.21,2.44,0.22,Major
4,0,0,1,40,1,1,1,3,rainy,muddy,2,12,7,32,0,0,1,31,8,1,0,1,53.86816227,1.075766201,100,night,3,3,0,3.5,9.5,3.81,2.44,0.25,Major
5,1,0,0,40,1,6,1,2,clear,wet,0,8,2,8,1,0,1,45,23,1,0,1,33.85052772,0.997155526,77.36242118,afternoon,1,2,0,1,4,8,1.89,0.5,Minor
5,0,0.14005959,0.8599404,20,1,1,0,4.8599405,rainy,dry,2,1,7,13.02209,0,0,1,29,5,1,0,1,54.70329834,0.719030549,92.75818118,morning,3,1,0,3.5,7.5,2.35,4.42,0.17,Major
0,0,1,1,30,1,1,0,3,clear,dry,0,12,2,13.333333,0,0,1,43,19,1,1,1,24.84380067,1.044724033,89.7869367,morning,1,1,4,1,7,3.75,2.9,0.43,Major
4,1,0,0,30,0,6,0,5,foggy,dry,0,10,6,22.5,1,0,0,23,5,1,0,1,66.6185083,0.628250467,69.90031101,afternoon,4,1,0,3,8,3.33,2.25,0.21,Major
4,0,1,1,20,1,3,1,4,clear,dry,1,10,6,10,1,0,0,40,22,1,0,1,60.46038449,0.572715991,36.84488106,night,1,1,0,3,5,3.33,1.75,0.54,Minor
1,1,0,1,20,0,1,0,5,foggy,dry,1,2,3,8,0,0,1,49,31,0,0,1,23.79371565,1.277851196,82.7751963,evening,4,1,3,1.5,9.5,1.9,3.94,0.62,Major
1,0,0,1,30,1,1,0,6,clear,wet,0,3,9,52.5,0,0,0,18,0,1,0,1,42.28034069,1.176272632,94.02978014,evening,1,2,0,4.5,7.5,3.53,3.03,0,Major
2,0,0,1,40,0,1,1,6,clear,dry,2,11,9,18.666666,0,0,1,27,5,0,0,1,47.43594089,1.14903221,68.92968655,afternoon,1,1,3,4.5,9.5,3.81,1.68,0.18,Major
4,1,0,0,40,1,1,1,6,rainy,muddy,0,5,7,70,0,0,1,40,17,1,0,1,55.78977424,1.428127725,100,afternoon,3,3,0,3.5,9.5,3.81,2.44,0.41,Major
3,0,0,1,20,0,4,0,6,clear,wet,1,5,2,10.769231,1,0,1,32,11,1,0,1,44.82077816,0.880772716,100,night,1,2,0,1,4,4,4.76,0.33,Minor
0,1,0,1,20,1,3,0,5,clear,dry,2,13,5,20,0,0,1,38,16,0,0,1,56.7955828,0.899732022,50.548109,evening,1,1,3,2.5,7.5,2.35,2.41,0.41,Major
5,1,1,1,40,1,2,0,6,rainy,wet,1,10,9,35,1,0,1,28,6,1,1,1,43.93851008,0.913746905,76.10794111,evening,3,2,4,4.5,13.5,2.76,1.86,0.21,Major
2,1,0,1,30,1,2,0,5,clear,dry,0,8,7,25.714285,0,0,0,35,12,1,0,1,54.17658428,0.965283091,63.20338285,morning,1,1,0,3.5,5.5,4.62,2.04,0.33,Minor
1,1,1,0,30,0,5,1,5,clear,dry,1,2,2,22.5,1,0,1,33,10,0,0,1,24.48202298,1.012842989,72.65256621,evening,1,1,3,1,6,4.29,2.34,0.29,Minor
1,1,1,1,40,1,4,0,4,clear,wet,0,2,2,25,0,0,0,46,28,0,0,1,44.61012679,1.278017432,93.08427174,evening,1,2,3,1,7,5,2.27,0.6,Major
6,0,1,1,30,0,5,1,6,foggy,dry,1,8,5,52.5,0,0,1,37,15,1,0,1,62.25183946,0.71770331,74.96505381,evening,4,1,0,2.5,7.5,3.53,2.42,0.39,Major
3,1,1,1,40,1,5,1,1,clear,dry,1,1,7,16,1,0,0,38,20,0,0,1,66.16630967,0.934084439,68.59352242,evening,1,1,3,3.5,8.5,4.21,1.67,0.51,Major
0,0,0,0,40,0,6,1,2,rainy,dry,0,9,6,24,1,0,1,30,9,1,0,1,47.59559452,1.005127367,81.88172854,evening,3,1,0,3,7,5,2,0.29,Major
5,0,1,0,40,0,5,1,4,clear,muddy,1,2,2,33.333332,0,0,1,30,10,1,0,1,43.51297307,0.669117673,95.19561092,evening,1,3,0,1,5,6.67,2.32,0.32,Minor
6,0,1,0,40,0,5,1,6,clear,icy,2,12,7,35,0,0,0,30,12,1,0,0,65.52051454,1.201942721,94.99631732,evening,1,5,2,3.5,11.5,3.2,2.32,0.39,Major
1,0,1,1,20,1,2,0,1,clear,wet,0,5,3,10,0,0,1,38,15,0,0,0,43.48607436,0.556270742,92.30670368,evening,1,2,5,1.5,9.5,1.9,4.4,0.38,Major
5,1,1,0,20,1,1,0,4,clear,icy,0,3,7,9.090909,0,0,1,30,6,1,0,1,62.16790733,1.085912498,100,afternoon,1,5,0,3.5,9.5,1.9,4.76,0.19,Major
5,0,1,1,20,0,1,0,1,clear,wet,2,5,3,2.6666667,0,0,0,37,18,0,0,1,43.40035015,0.70214216,78.19028513,morning,1,2,3,1.5,7.5,2.35,3.72,0.47,Major
5,1,0,0,40,1,2,0,4,clear,dry,0,12,2,40,1,0,1,55,35,1,1,0,45.5999786,0.508468261,72.77580699,afternoon,1,1,6,1,9,4,1.78,0.62,Major
4,0,0,0,30,1,2,0,5,clear,dry,1,8,8,12,1,0,1,43,22,1,0,0,28.4292244,0.815771632,76.89101011,evening,1,1,2,4,8,3.33,2.48,0.5,Major
2,1,0,1,30,1,2,0,5,clear,wet,0,8,7,25.714285,0,0,0,31,7,1,0,1,26.26076164,0.929140681,63.81200838,night,1,2,0,3.5,6.5,4,2.06,0.22,Minor
2,1,0,1,30,0,2,0,3,rainy,dry,1,6,6,10,0,0,1,47,24,1,0,0,59.67194187,1.31730118,63.34546863,morning,3,1,2,3,9,3,2.04,0.5,Major
0,1,1,1,30,1,2,0,4,rainy,dry,0,9,4,21.428572,1,0,0,30,10,1,0,1,70.84228613,0.907845654,94.77616028,morning,3,1,0,2,6,4.29,3.06,0.32,Minor
5,0,1,1,20,1,1,1,3,clear,wet,1,7,6,40,0,0,1,18,0,1,0,1,46.58568779,1.415435567,96.61209164,afternoon,1,2,0,3,6,2.86,4.6,0,Minor
0,1,1,1,20,0,4,1,1,rainy,dry,0,2,3,8,0,0,0,24,6,0,0,1,42.5071274,1.3425388,27.08236196,evening,3,1,3,1.5,8.5,2.11,1.29,0.24,Major
0,1,0,1,30,1,1,1,1,foggy,muddy,0,1,8,7.5,0,0,1,18,0,1,1,1,60.33962366,0.692737605,98.80473902,morning,4,3,4,4,15,1.88,3.19,0,Major
5,0,1,1,20,0,1,0,1,foggy,dry,2,8,2,2.6666667,0,0,0,31,8,0,0,0,50.06047499,0.655717313,71.77422589,night,4,1,5,1,11,1.67,3.42,0.25,Major
5,0,1,0,40,0,1,0,1,rainy,dry,2,1,5,26.666666,1,0,1,35,11,1,0,1,10,0.743842025,67.35286861,morning,3,1,0,2.5,6.5,5.33,1.64,0.31,Minor
5,0,0,0,30,0,1,1,1,clear,dry,2,8,2,12,1,0,0,51,30,1,0,0,59.90508517,0.859681893,73.46082534,afternoon,1,1,2,1,5,5,2.37,0.58,Minor
4,1,0,0,20,1,4,0,5,clear,wet,0,12,3,8,0,0,1,38,19,1,1,1,24.94643605,1.083480569,54.7570831,evening,1,2,4,1.5,8.5,2.11,2.61,0.49,Major
0,0,0,1,20,1,5,1,6,clear,dry,2,9,9,35,0,0,1,32,14,1,0,1,44.824195,0.624081502,76.63913885,afternoon,1,1,0,4.5,6.5,2.67,3.65,0.42,Minor
3,1,1,0,40,0,4,0,1,rainy,dry,0,1,2,10,0,0,1,43,25,0,0,1,38.37770378,1.032041284,100,afternoon,3,1,3,1,8,4.44,2.44,0.57,Major
5,1,0,1,30,1,4,1,2,clear,wet,2,7,5,8.181818,0,0,0,18,0,1,0,1,35.39012136,1.080773233,49.04619106,afternoon,1,2,0,2.5,5.5,4.62,1.58,0,Minor
0,0,1,0,30,0,3,0,5,clear,dry,2,5,6,60,0,0,1,37,16,0,0,1,45.70406327,1.160890243,92.36680932,night,1,1,3,3,8,3.33,2.98,0.42,Major
6,1,1,0,40,0,3,1,5,foggy,wet,1,13,6,48,0,0,1,42,21,0,0,1,58.40441306,1.05009205,99.49214343,morning,4,2,3,3,12,3.08,2.43,0.49,Major
0,1,0,0,30,1,3,0,3,foggy,dry,2,14,1,20,0,0,0,20,0,0,0,1,45.4698167,1.32517167,91.63916526,night,4,1,3,0.5,8.5,3.16,2.96,0,Major
0,1,1,0,20,1,2,0,1,foggy,icy,2,8,8,3.0769231,0,0,1,46,27,1,0,1,66.1484214,1.141590441,100,morning,4,5,0,4,13,1.43,4.76,0.57,Major
6,0,1,1,20,0,6,1,1,clear,dry,0,4,7,5,1,0,1,38,15,1,1,0,68.01001317,1.424551548,99.63204518,afternoon,1,1,6,3.5,11.5,1.6,4.74,0.38,Major
4,0,0,0,30,0,1,0,1,foggy,dry,0,2,5,6.6666665,0,0,0,30,10,1,0,1,67.87306457,1.2009241,93.41895975,night,4,1,0,2.5,7.5,3.53,3.01,0.32,Major
6,1,0,1,30,1,6,0,1,rainy,wet,1,7,9,8.571428,1,0,1,41,18,0,0,1,44.16228881,0.936110217,100,morning,3,2,3,4.5,12.5,2.22,3.23,0.43,Major
1,1,1,0,30,1,1,0,1,rainy,wet,1,13,8,5,1,0,0,57,34,1,0,1,37.82673197,0.709684579,99.83766325,afternoon,3,2,0,4,9,3,3.22,0.59,Major
5,1,1,0,20,0,2,1,1,clear,dry,1,7,6,5,0,0,0,36,13,1,0,1,44.49453714,0.510520708,73.0196034,afternoon,1,1,0,3,5,3.33,3.48,0.35,Minor
5,0,1,0,30,0,3,0,5,foggy,wet,0,8,2,60,0,0,1,37,17,1,0,1,61.87983259,0.590402838,92.62339641,evening,4,2,0,1,7,3.75,2.99,0.45,Major
5,0,0,1,30,1,3,0,2,clear,dry,0,14,1,15,1,0,0,30,12,0,0,1,60.98045163,0.689675741,74.54135426,afternoon,1,1,3,0.5,5.5,4.62,2.4,0.39,Minor
1,1,0,0,40,0,2,1,3,clear,icy,0,9,5,32,0,0,1,26,5,1,1,0,10,0.716441352,53.31824622,evening,1,5,6,2.5,14.5,2.58,1.3,0.19,Major
6,0,0,1,30,0,1,1,2,clear,dry,0,14,2,30,0,0,1,43,25,1,0,1,49.58773911,1.242044081,100,morning,1,1,0,1,3,7.5,3.23,0.57,Minor
1,0,0,1,40,1,1,0,4,rainy,dry,1,6,7,18.181818,1,0,1,26,7,0,0,1,10,0.886055798,68.93179262,night,3,1,3,3.5,10.5,3.48,1.68,0.26,Major
6,1,1,0,30,1,2,0,3,rainy,dry,2,3,6,10.909091,0,0,0,35,15,1,0,0,44.71397612,0.824539482,100,evening,3,1,2,3,9,3,3.23,0.42,Major
0,0,1,0,40,1,2,1,3,foggy,muddy,0,5,2,53.333332,0,0,1,30,11,0,0,1,37.06494479,0.552367554,90.69469846,morning,4,3,3,1,11,3.33,2.21,0.35,Major
2,1,1,1,40,1,1,1,4,clear,muddy,2,14,6,14.285714,0,0,1,39,18,1,0,1,32.44620257,1.038660546,62.08190864,evening,1,3,0,3,7,5,1.51,0.45,Major
3,1,1,1,30,0,2,1,6,clear,dry,1,14,1,30,0,0,1,38,17,0,0,1,57.73883459,1.112908881,64.4831007,morning,1,1,3,0.5,5.5,4.62,2.08,0.44,Minor
5,0,1,1,40,0,3,0,6,rainy,dry,0,3,9,23.333334,1,0,0,45,23,0,0,1,35.2907086,1.377857416,87.94675773,evening,3,1,3,4.5,11.5,3.2,2.15,0.5,Major
4,0,0,1,20,0,6,0,3,clear,dry,0,10,1,16,1,0,1,29,10,1,0,1,44.85743028,1.002842057,87.98899451,afternoon,1,1,0,0.5,2.5,5.71,4.19,0.33,Minor
0,1,0,0,30,1,3,0,3,clear,wet,2,9,1,20,0,0,0,32,14,1,0,1,31.01448222,0.507720161,72.47644951,afternoon,1,2,0,0.5,3.5,6.67,2.34,0.42,Minor
6,0,0,1,30,1,1,0,4,clear,wet,1,5,1,10,0,0,1,25,1,1,0,1,46.10582836,0.565278758,48.36235675,morning,1,2,0,0.5,3.5,6.67,1.56,0.04,Minor
1,1,0,0,30,1,3,1,3,rainy,muddy,2,7,4,15,0,0,1,30,11,1,0,1,59.39595619,0.771005339,96.06405231,afternoon,3,3,0,2,8,3.33,3.1,0.35,Major
1,1,1,0,40,0,5,0,4,rainy,wet,2,10,1,20,0,0,1,38,18,1,1,1,31.83184969,0.639185584,21.49886865,morning,3,2,4,0.5,9.5,3.81,0.52,0.46,Major
6,1,1,1,30,0,2,0,1,clear,dry,0,7,9,12,0,0,0,42,21,1,0,1,54.59904771,1.270587409,86.96274056,night,1,1,0,4.5,6.5,4,2.81,0.49,Minor
6,1,1,0,40,1,5,0,6,clear,dry,1,7,3,46.666668,0,0,1,25,4,1,1,1,45.84729366,0.607856981,100,afternoon,1,1,4,1.5,7.5,4.71,2.44,0.15,Major
3,0,1,0,40,0,6,1,5.1265764,clear,wet,1,12,6,17.504503,0,0,1,43,24,1,0,1,45.70979607,0.660783483,43.01514001,afternoon,1,2,0,3,6,5.71,1.05,0.55,Minor
1,0,1,0,40,1,2,0,4,rainy,dry,1,10,9,13.333333,0,0,1,48,29,1,1,1,39.74388224,1.166787364,83.19949725,afternoon,3,1,4,4.5,12.5,2.96,2.03,0.59,Major
5,1,1,0,20,0,4,0,3,rainy,muddy,2,4,8,8,0,0,1,39,16,1,0,1,56.60110819,0.739628368,72.32421224,afternoon,3,3,0,4,10,1.82,3.44,0.4,Major
6,0,0,1,20,0,6,0,2,foggy,dry,2,4,6,4.6153846,0,0,0,53,34,0,0,1,55.06376714,1.469080991,83.89938325,afternoon,4,1,3,3,11,1.67,4,0.63,Major
1,0,0,1,30,1,1,0,6,stormy,dry,0,13,4,52.5,0,0,1,27,4,1,1,1,42.99847746,1.363187698,99.55777039,evening,5,1,4,2,12,2.31,3.21,0.14,Major
6,1,1,1,30,0,1,0,6,stormy,dry,2,3,5,19.09091,1,0,1,22,2,0,0,1,48.04017435,1.244540172,53.07157506,evening,5,1,3,2.5,11.5,2.4,1.71,0.09,Major
2,0,1,0,40,0,5,1,4,clear,dry,0,4,3,66.666664,0,0,0,18,0,1,0,1,56.14464242,0.843136468,75.53384552,morning,1,1,0,1.5,3.5,8.89,1.84,0,Minor
2,1,1,0,20,1,4,1,4,rainy,dry,0,9,7,16.666666,1,0,1,49,31,1,1,1,53.12278825,0.556779974,76.71038708,evening,3,1,4,3.5,11.5,1.6,3.65,0.62,Major
0,0,0,1,40,0,4,1,5,rainy,dry,1,5,5,20,1,0,0,41,22,1,0,1,40.40044989,0.836400958,41.02525885,night,3,1,0,2.5,6.5,5.33,1,0.52,Minor
0,0,1,1,30,1,1,0,3,rainy,dry,0,14,6,13.333333,1,0,0,34,16,0,0,0,62.48561762,0.87672986,91.47201943,morning,3,1,5,3,12,2.31,2.95,0.46,Major
4,0,0,1,20,0,3,1,5,foggy,dry,2,6,2,13.333333,1,0,0,37,13,1,0,1,57.96206728,0.627432811,100,afternoon,4,1,0,1,6,2.86,4.76,0.34,Minor
5,1,0,0,20,1,3,0,2,clear,dry,0,4,7,4.285714,0,0,1,23,1,0,0,1,76.66858528,0.620640804,93.41173111,evening,1,1,3,3.5,8.5,2.11,4.45,0.04,Major
6,1,0,1,40,1,4,0,6,clear,dry,0,13,4,20,0,0,1,59,39,1,1,0,21.45645868,1.16810833,82.59702875,evening,1,1,6,2,10,3.64,2.01,0.65,Major
1,1,0,1,40,0,6,0,2,clear,dry,2,1,7,8,0,0,0,36,15,1,0,1,55.52978459,0.732402425,97.71856085,morning,1,1,0,3.5,5.5,6.15,2.38,0.41,Minor
4,1,1,1,40,0,5,0,5,clear,muddy,1,13,1,17.142857,0,0,0,36,13,0,0,0,62.28134325,1.178010705,68.10059593,afternoon,1,3,5,0.5,9.5,3.81,1.66,0.35,Major
1,1,1,0,30,0,5,1,5,rainy,wet,1,7,1,22.5,0,0,1,42,20,1,0,0,60.07750667,1.048301348,62.37028784,morning,3,2,2,0.5,7.5,3.53,2.01,0.47,Major
2,1,1,1,30,1,3,1,1,clear,muddy,0,13,2,12,0,0,1,39,18,0,1,1,41.20930415,1.40146385,90.27282125,night,1,3,7,1,12,2.31,2.91,0.45,Major
2,1,1,1,40,0,1.9840337,1,1,rainy,icy,2,7,3,10,0,0,1,37,15,1,0,1,24.55265103,1.297169878,84.57878294,evening,3,5,0,1.5,9.5,3.81,2.06,0.39,Major
2,0,1,0,40,1,6,0,3,clear,dry,1,6,4,40,0,0,1,27,9,1,0,1,68.09481916,0.651372033,86.27783038,morning,1,1,0,2,4,8,2.1,0.32,Minor
1,1,0,0,20,0,1,1,6,foggy,wet,2,4,2,70,0,0,0,39,21,0,0,1,37.77383834,1.110161548,62.82258952,evening,4,2,3,1,10,1.82,2.99,0.52,Major
1,1,0,0,20,1,2,0,6,foggy,dry,2,10,3,46.666668,0,0,1,53,30,0,1,1,40.56832671,1.153126749,49.90020919,morning,4,1,7,1.5,13.5,1.38,2.38,0.56,Major
5,0,0,0,30,0,1,1,1,rainy,muddy,2,13,5,12,0,0,0,48,28,1,0,1,75.99823192,1.362054497,59.21719568,morning,3,3,0,2.5,8.5,3.16,1.91,0.57,Major
3,0,0,0,30,1,4,0,1,clear,dry,2,8,4,7.5,0,0,1,50,26,1,1,1,25.903287,1.140956763,62.94430917,morning,1,1,4,2,8,3.33,2.03,0.51,Major
3,1,1,0,40,1,1,0,2,clear,dry,2,12,8,8.571428,0,0,1,29,6,0,1,1,57.2833194,0.640714218,39.17689191,night,1,1,7,4,13,2.86,0.96,0.2,Major
1,0,0,1,20,1,1,0,2,rainy,icy,0,14,7,4.6153846,0,0,1,25,1,0,0,1,33.69318518,0.758449229,89.50357211,evening,3,5,3,3.5,14.5,1.29,4.26,0.04,Major
2,1,1,1,40,1,1,1,4,foggy,muddy,2,8,5,14.285714,0,0,1,33,12,1,0,1,33.36400765,1.137598954,54.21313043,afternoon,4,3,0,2.5,9.5,3.81,1.32,0.35,Major
3,1,1,0,20,0,1,0,3,rainy,dry,2,1,9,6.1538463,0,0,0,35,13,0,0,1,47.51479093,1.411942374,53.10776559,morning,3,1,3,4.5,11.5,1.6,2.53,0.36,Major
3,1,1,0,30,0,2,1,4,foggy,dry,0,9,2,50,0,0,0,45,22,1,0,0,55.14562198,1.391528967,74.76156636,morning,4,1,2,1,8,3.33,2.41,0.48,Major
2,1,0,1,30,0,5,0,5,rainy,wet,2,8,1,13.846154,0,0,0,18,0,1,0,1,59.25301058,0.859186141,61.87845119,night,3,2,0,0.5,5.5,4.62,2,0,Minor
6,1,1,1,40,0,4,0,6,rainy,dry,2,2,5,28,0,0,0,50,31,0,0,1,61.22209756,1.33067331,48.44373182,afternoon,3,1,3,2.5,9.5,3.81,1.18,0.61,Major
4,1,1,0,30,1,1,1,3,rainy,muddy,1,9,2,10.909091,0,0,1,33,14,1,0,1,34.40118601,1.011287898,50.65448479,morning,3,3,0,1,7,3.75,1.63,0.41,Major
1,1,0,1,20,1,1,1,6,rainy,muddy,0,4,4,28,0,0,1,30,10,1,1,1,27.84709589,0.964342773,90.71090637,afternoon,3,3,4,2,12,1.54,4.32,0.32,Major
3,0,0.94220173,0,20,0,6,0.94220173,3.9422019,rainy,dry,0,10,3,49.422016,0,0,1,24,0,1,0,1,39.86034154,0.850887137,73.27153469,morning,3,1,0,1.5,5.5,3.08,3.49,0,Minor
6,0,0,0,20,1,1,1,3,clear,dry,0,14,2,5.714286,0,0,0,18,0,1,0,1,50.21217987,1.178202794,49.72770636,afternoon,1,1,0,1,3,5,2.37,0,Minor
5,0,0,0,20,0,6,1,1,foggy,dry,2,12,6,4,0,0,0,43,22,1,0,0,41.91542787,1.099597613,100,night,4,1,2,3,10,1.82,4.76,0.5,Major
5,1,0,0,20,1,3,1,4,foggy,dry,2,6,6,14.285714,1,0,0,35,16,1,0,1,10,0.874663836,65.77428735,night,4,1,0,3,8,2.22,3.13,0.44,Major
6,0,1,1,40,1,1,1,6,rainy,dry,2,14,5,25.454546,0,0,0,22,2,0,0,1,17.59230263,1.262838187,90.59693431,night,3,1,3,2.5,9.5,3.81,2.21,0.09,Major
2,1,1,0,40,0,5,1,6,rainy,wet,1,2,5,140,0,0,1,22,0,1,0,1,41.39290343,0.879345481,77.83835609,morning,3,2,0,2.5,7.5,4.71,1.9,0,Major
2,1,0,0,30,1,5,0,6,clear,dry,2,10,9,15,0,0,1,31,11,1,1,1,57.82801279,1.084387294,81.95813854,morning,1,1,4,4.5,10.5,2.61,2.64,0.34,Major
2,1,0,0,20,1,3,0,5,foggy,dry,2,4,7,40,0,0,1,51,30,0,0,0,31.43029938,0.89238291,80.41457877,night,4,1,5,3.5,13.5,1.38,3.83,0.58,Major
0,1,0,0,40,1,6,1,1,foggy,dry,1,2,6,20,1,0,0,32,13,1,0,0,55.99606717,0.616876666,52.42376245,morning,4,1,2,3,10,3.64,1.28,0.39,Major
5,1,1,0,40,1,2,1,6,rainy,dry,2,12,4,28,0,0,1,19,0,1,1,1,22.55844506,0.661194376,100,morning,3,1,4,2,10,3.64,2.44,0,Major
4,1,0,1,30,1,1,1,1,clear,dry,0,9,5,12,0,0,0,32,13,1,0,1,48.83352782,1.156738872,64.78913531,evening,1,1,0,2.5,4.5,5.45,2.09,0.39,Minor
0,1,0,1,20,1,4,1,4,rainy,muddy,1,9,1,25,0,0,1,32,8,0,0,0,48.94278064,1.311223389,96.50797994,afternoon,3,3,5,0.5,11.5,1.6,4.6,0.24,Major
2,1,0,1,30,0,5,0,5,clear,dry,2,5,2,13.846154,0,0,0,18,0,1,0,1,52.03108423,0.968462964,64.18544713,evening,1,1,0,1,3,7.5,2.07,0,Minor
4,0,0,0,20,1,1,1,6,rainy,muddy,0,3,3,28,0,0,1,34,10,1,0,1,29.87577787,0.825587191,57.89008768,morning,3,3,0,1.5,7.5,2.35,2.76,0.29,Major
6,0,0,1,30,0,4,1,6,stormy,dry,0,3,1,15,0,0,1,32,13,1,0,1,21.78550413,0.836497481,100,afternoon,5,1,0,0.5,6.5,4,3.23,0.39,Minor
5,1,0,0,40,0,1,0,1,clear,wet,2,1,2,20,1,0,1,41,19,1,0,1,55.89077887,1.097647297,100,evening,1,2,0,1,4,8,2.44,0.45,Minor
1,0,0,1,20,1,1,0,2,clear,dry,0,13,8,4.6153846,0,0,1,53,35,1,1,1,22.10761932,0.967689447,89.07353958,afternoon,1,1,4,4,10,1.82,4.24,0.65,Major
6,0,1,1,30,1,6,0,3,clear,muddy,2,8,5,8,0,0,0,46,23,1,0,0,33.43635458,0.500738706,96.14147601,afternoon,1,3,2,2.5,8.5,3.16,3.1,0.49,Major
2,0,1,0,20,1,2,1,4.4251556,clear,muddy,1,3,5,36.167706,0,0,1,32,8,0,0,1,65.87523938,1.271471975,54.91756477,evening,1,3,3,2.5,9.5,1.9,2.62,0.24,Major
3,1,0,1,40,1,1,0,3,clear,wet,2,12,9,80,0,0,0,23,5,1,0,1,47.54833422,0.642317938,93.18863334,evening,1,2,0,4.5,7.5,4.71,2.27,0.21,Major
4,0,0,1,40,0,2,1,2,clear,dry,1,4,4,12,0,0,1,60,42,0,0,1,50.53130988,1.174810082,92.98013203,afternoon,1,1,3,2,7,5,2.27,0.69,Major
4,1,1,0,40,0,1,0,2,foggy,dry,2,2,5,24,1,0,1,35,11,1,0,1,54.37103609,0.844213912,88.77072836,evening,4,1,0,2.5,7.5,4.71,2.17,0.31,Major
2,0,1,0,20,1,4,0,4,foggy,dry,0,8,7,7.6923075,0,0,0,35,11,1,0,1,53.83679487,1.078002586,100,evening,4,1,0,3.5,8.5,2.11,4.76,0.31,Major
4,1,0,0,30,0,1,1,1,clear,dry,1,3,6,6,0,0,1,34,16,0,0,1,44.68075252,1.355117376,34.39414792,evening,1,1,3,3,8,3.33,1.11,0.46,Major
4,0,0,0,30,0,1,1,5,rainy,wet,1,14,4,18,0,0,1,36,16,1,0,1,31.47867434,0.654272597,76.41599662,night,3,2,0,2,7,3.75,2.47,0.43,Major
6,0,1,1,20,1,4,1,6,foggy,wet,1,12,7,35,0,0,1,33,11,1,0,1,85.26086723,1.277635207,100,evening,4,2,0,3.5,9.5,1.9,4.76,0.32,Major
0,1,1,0,40,0,4,0,3,clear,dry,2,11,2,13.333333,0,0,0,29,8,0,0,0,40.61047931,0.53830845,57.75235119,night,1,1,5,1,8,4.44,1.41,0.27,Major
